date,number_bikes
1/1/2017,399
1/2/2017,489
1/3/2017,706
1/4/2017,925
1/5/2017,1763
1/6/2017,1665
1/7/2017,262
1/8/2017,140
1/9/2017,1250
1/10/2017,577
1/11/2017,1455
1/12/2017,1435
1/13/2017,1676
1/14/2017,783
1/15/2017,618
1/16/2017,1045
1/17/2017,2001
1/18/2017,787
1/19/2017,1235
1/20/2017,661
1/21/2017,637
1/22/2017,300
1/23/2017,952
1/24/2017,1938
1/25/2017,2133
1/26/2017,2080
1/27/2017,1856
1/28/2017,871
1/29/2017,767
1/30/2017,2257
1/31/2017,2339
2/1/2017,1914
2/2/2017,1251
2/3/2017,1195
2/4/2017,603
2/5/2017,531
2/6/2017,884
2/7/2017,536
2/8/2017,1012
2/9/2017,720
2/10/2017,1573
2/11/2017,966
2/12/2017,879
2/13/2017,2185
2/14/2017,2300
2/15/2017,2188
2/16/2017,1707
2/17/2017,579
2/18/2017,721
2/19/2017,333
2/20/2017,276
2/21/2017,1258
2/22/2017,2057
2/23/2017,2076
2/24/2017,1869
2/25/2017,745
2/26/2017,736
2/27/2017,2029
2/28/2017,2260
3/1/2017,2243
3/2/2017,2200
3/3/2017,1964
3/4/2017,532
3/5/2017,476
3/6/2017,1414
3/7/2017,2350
3/8/2017,2434
3/9/2017,2307
3/10/2017,1981
3/11/2017,1088
3/12/2017,895
3/13/2017,2470
3/14/2017,2661
3/15/2017,2389
3/16/2017,2232
3/17/2017,2141
3/18/2017,914
3/19/2017,848
3/20/2017,1521
3/21/2017,1198
3/22/2017,1986
3/23/2017,2168
3/24/2017,704
3/25/2017,914
3/26/2017,638
3/27/2017,2181
3/28/2017,2523
3/29/2017,2442
3/30/2017,2155
3/31/2017,2093
4/1/2017,1033
4/2/2017,877
4/3/2017,2450
4/4/2017,2515
4/5/2017,2476
4/6/2017,1128
4/7/2017,1107
4/8/2017,599
4/9/2017,845
4/10/2017,2254
4/11/2017,2044
4/12/2017,1576
4/13/2017,1755
4/14/2017,1980
4/15/2017,973
4/16/2017,348
4/17/2017,1404
4/18/2017,1650
4/19/2017,2409
4/20/2017,2534
4/21/2017,2201
4/22/2017,1077
4/23/2017,828
4/24/2017,1999
4/25/2017,2469
4/26/2017,1866
4/27/2017,2404
4/28/2017,2127
4/29/2017,1139
4/30/2017,1033
5/1/2017,2671
5/2/2017,2741
5/3/2017,2675
5/4/2017,2389
5/5/2017,1992
5/6/2017,957
5/7/2017,910
5/8/2017,2352
5/9/2017,2518
5/10/2017,2322
5/11/2017,2843
5/12/2017,1967
5/13/2017,880
5/14/2017,806
5/15/2017,2269
5/16/2017,2232
5/17/2017,2464
5/18/2017,2305
5/19/2017,2253
5/20/2017,1088
5/21/2017,850
5/22/2017,2334
5/23/2017,2354
5/24/2017,2314
5/25/2017,2141
5/26/2017,1793
5/27/2017,863
5/28/2017,710
5/29/2017,684
5/30/2017,2298
5/31/2017,2517
6/1/2017,2290
6/2/2017,2239
6/3/2017,940
6/4/2017,898
6/5/2017,2519
6/6/2017,2530
6/7/2017,2321
6/8/2017,2254
6/9/2017,1986
6/10/2017,1041
6/11/2017,833
6/12/2017,2307
6/13/2017,2443
6/14/2017,2476
6/15/2017,2323
6/16/2017,2136
6/17/2017,1044
6/18/2017,971
6/19/2017,2321
6/20/2017,2581
6/21/2017,2537
6/22/2017,2457
6/23/2017,2013
6/24/2017,1127
6/25/2017,872
6/26/2017,2373
6/27/2017,2320
6/28/2017,2371
6/29/2017,2202
6/30/2017,1895
7/1/2017,818
